Name,Price,Old Price,Discount,Rating
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹9,199","₹13,999",34% off,4.2
"SAMSUNG Galaxy F16 5G (Glam Green, 128 GB)","₹14,499","₹18,999",23% off,4.3
SAMSUNG Guru 1200,"₹1,199","₹1,699",29% off,3.3
SAMSUNG SM-B310EZDDINS,"₹1,259","₹2,555",50% off,3.2
"SAMSUNG Galaxy F16 5G (Glam Green, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹9,199","₹13,999",34% off,4.2
SAMSUNG Guru Music 2 B310ED,"₹1,399","₹1,999",30% off,3.2
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,499","₹9,999",35% off,4.2
"SAMSUNG M35 5G (Moonlight Blue, 128 GB)","₹14,423","₹24,499",41% off,4.4
"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)","₹14,383","₹24,499",41% off,4.4
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,499","₹15,499",32% off,4.1
"SAMSUNG Galaxy F16 5G (Bling Black, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG M05 (Mint Green, 64 GB)","₹7,232","₹9,999",27% off,4.3
SAMSUNG Guru Music 2 B310ED,"₹1,399","₹1,999",30% off,3.2
SAMSUNG 1200,"₹1,199","₹1,999",40% off,3.2
SAMSUNG Guru Music 2,"₹1,399","₹2,499",44% off,3.3
"SAMSUNG Galaxy F16 5G (Vibing Blue, 128 GB)","₹12,999","₹17,499",25% off,4.2
"SAMSUNG Galaxy F16 5G (Bling Black, 128 GB)","₹14,499","₹18,999",23% off,4.3
SAMSUNG SM 1207,"₹1,199","₹2,003",40% off,3.3
SAMSUNG Metro SM-B313ez,,,,3.2
"SAMSUNG Galaxy F16 5G (Bling Black, 128 GB)","₹12,999","₹17,499",25% off,4.2
"SAMSUNG Galaxy F06 5G (Lit Violet, 128 GB)","₹10,499","₹15,499",32% off,4.1
"SAMSUNG Galaxy A05 (Light Green, 128 GB)","₹8,627","₹14,999",42% off,4.2
SAMSUNG Metro B313E Dual Sim - White,,,,3.1
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹13,499","₹16,999",20% off,4.2
"SAMSUNG Galaxy A16 5G (Light Green, 128 GB)","₹14,578","₹19,999",27% off,4.1
SAMSUNG Sm-B110E/D,,,,3.2
"SAMSUNG Galaxy A05 (Silver, 128 GB)","₹8,833","₹14,999",41% off,4.2
"SAMSUNG Galaxy A36 5G (Awesome Black, 128 GB)","₹30,990","₹35,999",13% off,4.3
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹12,499","₹15,999",21% off,4.1
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,499","₹15,999",21% off,4.1
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)","₹15,499","₹19,999",22% off,4.1
"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹11,999","₹20,999",42% off,4.2
"SAMSUNG M35 5G (Moonlight Blue, 256 GB)","₹24,906","₹27,499",9% off,4.5
"SAMSUNG Galaxy M35 5G (Moonlight Blue, 128 GB)","₹17,130","₹25,999",34% off,4.3
"SAMSUNG Galaxy A05 (Black, 64 GB)","₹8,490","₹12,490",32% off,4.2
"SAMSUNG Galaxy A36 5G (Awesome Lavender, 256 GB)","₹33,999","₹38,999",12% off,4.3
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹13,499","₹16,999",20% off,4.2
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹16,999","₹21,499",20% off,4.2
"SAMSUNG Galaxy F55 5G (Raisin Black, 256 GB)","₹26,999","₹34,999",22% off,4.1
"SAMSUNG Galaxy M35 5G (Thunder Grey, 128 GB)","₹17,150","₹25,999",34% off,4.3
"SAMSUNG Galaxy A16 5G (Light Green, 128 GB)","₹16,999","₹21,499",20% off,4.2
"SAMSUNG Galaxy A16 5G (Gold, 256 GB)","₹19,999","₹24,499",18% off,4.2
"SAMSUNG Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,499","₹15,499",32% off,4.1
"SAMSUNG Galaxy S24 FE 5G (Graphite, 256 GB)","₹47,999","₹65,999",27% off,4.5
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,499","₹15,999",21% off,4.1
"SAMSUNG galaxy M15 5G (Blue Topaz, 128 GB)","₹14,249","₹17,999",20% off,4.2
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹15,500","₹21,499",27% off,4.2
"SAMSUNG Galaxy A35 5G (Awesome Navy, 128 GB)","₹27,499","₹33,999",19% off,4.3
"SAMSUNG Galaxy A15 5G (Blue, 128 GB)","₹14,499","₹19,999",27% off,4.3
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹52,999","₹99,999",47% off,4.5
"SAMSUNG Galaxy F16 5G (Bling Black, 128 GB)","₹12,999","₹17,499",25% off,4.2
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹15,499","₹19,999",22% off,4.1
"SAMSUNG Galaxy F55 5G (Apricot Crush, 256 GB)","₹23,999","₹31,999",25% off,4
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)","₹41,999","₹59,999",30% off,4.5
"SAMSUNG M16 5G (Blush Pink, 128 GB)","₹12,520","₹13,654",8% off,4.5
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹15,488","₹19,999",22% off,4.1
SAMSUNG Guru Music 2 B310ED,,,,3.2
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 128 GB)","₹25,999","₹33,999",23% off,4.3
"SAMSUNG Galaxy M35 5G (DayBreak Blue, 256 GB)","₹22,499","₹27,779",19% off,4.3
"SAMSUNG Galaxy A16 5G (Blue Black, 256 GB)","₹19,999","₹24,499",18% off,4.2
"SAMSUNG Galaxy A16 5G (Light Green, 128 GB)","₹15,728","₹21,499",26% off,4.2
"SAMSUNG Galaxy A16 5G (Light Green, 128 GB)","₹15,499","₹19,999",22% off,4.1
"SAMSUNG Galaxy A05 (Black, 128 GB)","₹8,841","₹14,999",41% off,4.2
"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹28,099","₹36,999",24% off,4.3
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)","₹40,990","₹59,999",31% off,4.5
"SAMSUNG Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG S24 FE 5G (Blue, 128 GB)","₹41,999","₹59,999",30% off,4.5
"SAMSUNG Galaxy A15 5G (Blue, 128 GB)","₹15,999","₹21,521",25% off,4.3
"SAMSUNG Galay A35 5G (Awesome Iceblue, 256 GB)","₹28,999","₹36,999",21% off,4.3
"SAMSUNG Galaxy A16 5G (Light Green, 256 GB)","₹21,499","₹24,499",12% off,4.2
"SAMSUNG Galaxy A56 5G (Awesome Graphite, 256 GB)","₹44,999","₹52,999",15% off,4.6
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹13,490","₹18,490",27% off,4.2
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)","₹21,999","₹28,990",24% off,4.1
"SAMSUNG Galaxy S24 FE 5G (Blue, 256 GB)","₹45,880","₹65,999",30% off,4.5
"SAMSUNG Galaxy F16 5G (Bling Black, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG Galaxy A36 5G (Awesome White, 128 GB)","₹30,999","₹35,999",13% off,4.3
"SAMSUNG A23 5G (Silver, 128 GB)","₹16,999","₹30,990",45% off,4
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹36,999","₹45,999",19% off,4.4
SAMSUNG 1207,,,,3.2
"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹26,999","₹33,999",20% off,4.3
"SAMSUNG Galaxy A14 5G (Black, 64 GB)","₹9,999","₹18,499",45% off,4.2
"SAMSUNG Galaxy F16 5G (Glam Green, 128 GB)","₹11,499","₹15,999",28% off,4.2
"SAMSUNG Galaxy S24 FE 5G (Blue, 128 GB)","₹41,990","₹59,999",30% off,4.5
"SAMSUNG S24 FE 5G (Mint, 256 GB)","₹47,999","₹65,999",27% off,4.5
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹58,500","₹99,999",41% off,4.5
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹16,799","₹24,499",31% off,4.2
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)","₹16,999","₹21,499",20% off,4.2
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹10,999","₹15,499",29% off,4.2
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)","₹15,850","₹21,499",26% off,4.2
"SAMSUNG Galaxy A56 5G (Awesome Light Gray, 256 GB)","₹47,800","₹52,999",9% off,4.6
"SAMSUNG A04 (Copper, 64 GB)","₹9,999","₹14,999",33% off,4
"SAMSUNG M15 Prime Edition (Blue Topaz, 128 GB)","₹13,249","₹16,999",22% off,4.4
"SAMSUNG Galaxy A55 5G (Awesome Navy, 128 GB)","₹34,795","₹45,999",24% off,4.4
"SAMSUNG M16 5G (Thunder Black, 128 GB)","₹12,146","₹13,414",9% off,4.5
"SAMSUNG Galaxy M15 5G (Blue Topaz, 128 GB)","₹12,197","₹15,999",23% off,4.2
"SAMSUNG Galaxy A35 5G (Awesome Lilac, 256 GB)","₹28,999","₹36,999",21% off,4.3
"SAMSUNG A36 5G (Awesome Black, 256 GB)","₹33,999","₹38,999",12% off,4.5
